                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.76494,                0.36401,                 0.7794,                0.82096,                0.75128,                0.79131,                 0.5576,                0.78423,                0.38004,                0.79266,             0.00059413,             0.00059413,             0.00059413
                     55,                0.76899,                0.36467,                0.77901,                 0.8774,                0.72552,                0.81053,                0.54133,                0.85793,                0.40212,                0.79783,             0.00058175,             0.00058175,             0.00058175
                     56,                0.78005,                0.36632,                 0.7821,                 0.9056,                0.74428,                0.80277,                 0.5693,                 0.7565,                0.36525,                0.78879,             0.00056938,             0.00056938,             0.00056938
                     57,                 0.7618,                0.35681,                0.77761,                0.85669,                0.75565,                0.81247,                0.56745,                0.79142,                0.37175,                0.79124,               0.000557,               0.000557,               0.000557
                     58,                0.76912,                0.36335,                0.77863,                0.82946,                0.74581,                0.79011,                0.53349,                0.79721,                0.37428,                 0.7941,             0.00054463,             0.00054463,             0.00054463
                     59,                0.73933,                0.34775,                0.77896,                0.82592,                0.74116,                0.80405,                0.54549,                0.79136,                0.37743,                 0.7924,             0.00053225,             0.00053225,             0.00053225
                     60,                0.74742,                0.34729,                0.77698,                0.84856,                0.75407,                0.81577,                0.56194,                0.78819,                0.37566,                0.79087,             0.00051988,             0.00051988,             0.00051988
                     61,                0.73028,                0.34486,                0.77516,                0.89553,                0.75533,                0.81859,                0.56178,                0.78781,                0.37424,                0.79302,              0.0005075,              0.0005075,              0.0005075
                     62,                0.74027,                0.34462,                0.77809,                0.87454,                0.75316,                0.81401,                0.55853,                0.78493,                0.37553,                0.79261,             0.00049513,             0.00049513,             0.00049513
                     63,                0.71515,                 0.3384,                0.77655,                 0.8463,                0.73126,                 0.7988,                0.55486,                 0.7749,                0.37814,                0.79204,             0.00048275,             0.00048275,             0.00048275
                     64,                0.72412,                0.34512,                0.77626,                0.86297,                 0.7481,                0.79897,                0.54647,                0.77164,                0.38336,                0.79039,             0.00047038,             0.00047038,             0.00047038
                     65,                0.72702,                0.34359,                0.77781,                0.87729,                0.71889,                0.80814,                0.55497,                0.78488,                0.38385,                0.79268,               0.000458,               0.000458,               0.000458
                     66,                 0.7253,                0.34365,                0.77643,                0.85395,                0.71418,                0.80068,                0.55468,                0.80003,                0.37779,                0.79447,             0.00044563,             0.00044563,             0.00044563
